Sampling Timestamp,Site Name,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Total,Phosphorus Total,Phosphorus Total Dissolved,Vanadium Dissolved,Vanadium Total Recoverable,Unit Symbol,Distance Group
2003-07-21 03:00:00,SHIPYARD LAKE,,7.8,,,0.1,,,,,,,,,,,µg/l,Mid-Fields
2003-07-21 10:00:00,SHIPYARD LAKE,1.5,,,49100.0,,0.2,,,,,700.0,,,0.2,,µg/l,Mid-Fields
2003-07-21 11:00:00,SHIPYARD LAKE,,,,,,,0.1,,0.1,0.1,,,,,0.3,µg/l,Mid-Fields
2003-07-21 12:00:00,SHIPYARD LAKE,,,47600.0,,,,,0.1,,,,13.0,6.0,,,µg/l,Mid-Fields
2003-09-14 03:00:00,MCCLELLAND LAKE,,,18200.0,,0.4,,,,,,,,,,,µg/l,Mid-Fields
2003-09-14 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.2,µg/l,Mid-Fields
2003-09-14 08:00:00,MCCLELLAND LAKE,,5.2,,,,,,,,,,,,,,µg/l,Mid-Fields
2003-09-14 09:00:00,MCCLELLAND LAKE,,,,,,,0.02,,,,1000.0,,5.0,,,µg/l,Mid-Fields
2003-09-14 11:00:00,MCCLELLAND LAKE,,,,18000.0,,,,0.1,0.1,0.1,,14.0,,0.2,,µg/l,Mid-Fields
2003-09-14 12:00:00,MCCLELLAND LAKE,1.2,,,,,0.4,,,,,,,,,,µg/l,Mid-Fields
2003-09-17 10:00:00,SHIPYARD LAKE,,,,,,,,,,,300.0,,,,,µg/l,Mid-Fields
2004-07-26 03:00:00,SHIPYARD LAKE,,11.8,,,0.159,,,,,,,,,,,µg/l,Mid-Fields
2004-07-26 10:00:00,SHIPYARD LAKE,1.05,,,45400.0,,0.263,,,,,800.0,,,0.2,,µg/l,Mid-Fields
2004-07-26 11:00:00,SHIPYARD LAKE,,,,,,,0.0731,,0.274,0.382,,,,,0.233,µg/l,Mid-Fields
2004-07-26 12:00:00,SHIPYARD LAKE,,,45300.0,,,,,0.323,,,,31.0,17.0,,,µg/l,Mid-Fields
2004-09-16 10:00:00,SHIPYARD LAKE,,,,,,,,,,,1100.0,,,,,µg/l,Mid-Fields
2005-07-22 03:00:00,SHIPYARD LAKE,,13.2,,,0.1,,,,,,,,,,,µg/l,Mid-Fields
2005-07-22 10:00:00,SHIPYARD LAKE,2.22,,,49600.0,,0.1,,,,,800.0,,,0.161,,µg/l,Mid-Fields
2005-07-22 11:00:00,SHIPYARD LAKE,,,,,,,0.165,,0.06,0.06,,,,,0.218,µg/l,Mid-Fields
2005-07-22 12:00:00,SHIPYARD LAKE,,,48700.0,,,,,0.179,,,,7.0,3.0,,,µg/l,Mid-Fields
2005-09-24 10:00:00,SHIPYARD LAKE,,,,,,,,,,,1000.0,,,,,µg/l,Mid-Fields
2006-08-10 03:00:00,SHIPYARD LAKE,,4.31,,,0.15,,,,,,,,,,,µg/l,Mid-Fields
2006-08-10 10:00:00,SHIPYARD LAKE,1.0,,,54800.0,,0.377,,,,,900.0,,,0.05,,µg/l,Mid-Fields
2006-08-10 11:00:00,SHIPYARD LAKE,,,,,,,0.0496,,0.147,0.228,,,,,0.12,µg/l,Mid-Fields
2006-08-10 12:00:00,SHIPYARD LAKE,,,52100.0,,,,,0.102,,,,10.0,6.0,,,µg/l,Mid-Fields
2006-09-15 09:00:00,MCCLELLAND LAKE,,,,,,,,,,,900.0,,,,,µg/l,Mid-Fields
2006-09-15 10:00:00,SHIPYARD LAKE,,,,,,,,,,,900.0,,,,,µg/l,Mid-Fields
2007-07-20 03:00:00,SHIPYARD LAKE,,11.2,,,0.1,,,,,,,,,,,µg/l,Mid-Fields
2007-07-20 10:00:00,SHIPYARD LAKE,1.0,,,37100.0,,0.1,,,,,800.0,,,0.222,,µg/l,Mid-Fields
2007-07-20 11:00:00,SHIPYARD LAKE,,,,,,,0.0063,,0.123,0.124,,,,,0.292,µg/l,Mid-Fields
2007-07-20 12:00:00,SHIPYARD LAKE,,,35800.0,,,,,0.0093,,,,16.0,6.0,,,µg/l,Mid-Fields
2007-09-06 10:00:00,SHIPYARD LAKE,,,,,,,,,,,800.0,,,,,µg/l,Mid-Fields
2007-09-10 03:00:00,MCCLELLAND LAKE,,,17700.0,,0.1,,,,,,,,,,,µg/l,Mid-Fields
2007-09-10 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.0521,µg/l,Mid-Fields
2007-09-10 08:00:00,MCCLELLAND LAKE,,2.75,,,,,,,,,,,,,,µg/l,Mid-Fields
2007-09-10 09:00:00,MCCLELLAND LAKE,,,,,,,0.006,,,,1000.0,,3.0,,,µg/l,Mid-Fields
2007-09-10 11:00:00,MCCLELLAND LAKE,,,,18600.0,,,,0.0131,0.06,0.06,,12.0,,0.05,,µg/l,Mid-Fields
2007-09-10 12:00:00,MCCLELLAND LAKE,1.0,,,,,0.1,,,,,,,,,,µg/l,Mid-Fields
2008-07-14 03:00:00,SHIPYARD LAKE,,2.03,,,0.154,,,,,,,,,,,µg/l,Mid-Fields
2008-07-14 10:00:00,SHIPYARD LAKE,1.0,,,37400.0,,0.156,,,,,800.0,,,0.131,,µg/l,Mid-Fields
2008-07-14 11:00:00,SHIPYARD LAKE,,,,,,,0.0143,,0.06,0.06,,,,,0.179,µg/l,Mid-Fields
2008-07-14 12:00:00,SHIPYARD LAKE,,,36500.0,,,,,0.0165,,,,14.0,6.0,,,µg/l,Mid-Fields
2009-09-13 03:00:00,MCCLELLAND LAKE,,,19000.0,,0.1,,,,,,,,,,,µg/l,Mid-Fields
2009-09-13 03:00:00,SHIPYARD LAKE,,14.2,,,0.1,,,,,,,,,,,µg/l,Mid-Fields
2009-09-13 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.12,µg/l,Mid-Fields
2009-09-13 08:00:00,MCCLELLAND LAKE,,16.2,,,,,,,,,,,,,,µg/l,Mid-Fields
2009-09-13 09:00:00,MCCLELLAND LAKE,,,,,,,0.006,,,,1120.0,,3.3,,,µg/l,Mid-Fields
2009-09-13 10:00:00,SHIPYARD LAKE,1.0,,,40500.0,,0.1,,,,,1050.0,,,0.2,,µg/l,Mid-Fields
2009-09-13 11:00:00,MCCLELLAND LAKE,,,,19800.0,,,,0.006,0.06,0.06,,14.3,,0.0918,,µg/l,Mid-Fields
2009-09-13 11:00:00,SHIPYARD LAKE,,,,,,,0.006,,0.06,0.06,,,,,0.2,µg/l,Mid-Fields
2009-09-13 12:00:00,MCCLELLAND LAKE,1.0,,,,,0.1,,,,,,,,,,µg/l,Mid-Fields
2009-09-13 12:00:00,SHIPYARD LAKE,,,39400.0,,,,,0.006,,,,11.4,3.6,,,µg/l,Mid-Fields
2010-09-08 10:00:00,SHIPYARD LAKE,,,,,,,,,,,1360.0,,,,,µg/l,Mid-Fields
2010-09-10 09:00:00,MCCLELLAND LAKE,,,,,,,,,,,951.0,,,,,µg/l,Mid-Fields
2011-09-09 03:00:00,MCCLELLAND LAKE,,,18600.0,,0.188,,,,,,,,,,,µg/l,Mid-Fields
2011-09-09 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.207,µg/l,Mid-Fields
2011-09-09 08:00:00,MCCLELLAND LAKE,,6.12,,,,,,,,,,,,,,µg/l,Mid-Fields
2011-09-09 09:00:00,MCCLELLAND LAKE,,,,,,,0.1,,,,1050.0,,3.5,,,µg/l,Mid-Fields
2011-09-09 11:00:00,MCCLELLAND LAKE,,,,21000.0,,,,0.1,0.1,0.1,,16.8,,0.205,,µg/l,Mid-Fields
2011-09-09 12:00:00,MCCLELLAND LAKE,1.19,,,,,0.19,,,,,,,,,,µg/l,Mid-Fields
2011-09-11 03:00:00,SHIPYARD LAKE,,50.2,,,0.626,,,,,,,,,,,µg/l,Mid-Fields
2011-09-11 10:00:00,SHIPYARD LAKE,1.93,,,51300.0,,0.633,,,,,991.0,,,0.195,,µg/l,Mid-Fields
2011-09-11 11:00:00,SHIPYARD LAKE,,,,,,,0.1,,0.1,0.1,,,,,0.301,µg/l,Mid-Fields
2011-09-11 12:00:00,SHIPYARD LAKE,,,45600.0,,,,,0.1,,,,39.9,13.5,,,µg/l,Mid-Fields
2012-09-09 03:00:00,MCCLELLAND LAKE,,,19300.0,,0.1,,,,,,,,,,,µg/l,Mid-Fields
2012-09-09 07:00:00,MCCLELLAND LAKE,,,,,,,,,,,,,,,0.164,µg/l,Mid-Fields
2012-09-09 08:00:00,MCCLELLAND LAKE,,14.0,,,,,,,,,,,,,,µg/l,Mid-Fields
2012-09-09 09:00:00,MCCLELLAND LAKE,,,,,,,0.1,,,,1040.0,,13.299999999999999,,,µg/l,Mid-Fields
2012-09-09 11:00:00,MCCLELLAND LAKE,,,,20100.0,,,,0.1,0.1,0.1,,12.9,,0.14,,µg/l,Mid-Fields
2012-09-09 12:00:00,MCCLELLAND LAKE,1.0,,,,,0.1,,,,,,,,,,µg/l,Mid-Fields
2012-09-12 03:00:00,SHIPYARD LAKE,,190.0,,,0.332,,,,,,,,,,,µg/l,Mid-Fields
