Site Name,Sampling Date,Distance Group,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Unit Symbol,Year
"GREGOIRE LAKE, (NO DESCRIP)",1973-06-18,Far,,,15.0,,,,,,,,,,,,,7.8,,,,,,,,,,mg/L,1973.0
"GREGOIRE LAKE, (NO DESCRIP)",1973-08-14,Far,,,9.0,,,,,,,,,,,,,8.2,,,,,,,,,,mg/L,1973.0
"GREGOIRE LAKE, (NO DESCRIP)",1974-08-19,Far,,,20.0,,,,,,,,,,,,,8.3,,,,,,,,,,mg/L,1974.0
"GREGOIRE LAKE, (NO DESCRIP)",1981-05-12,Far,,,15.0,,,,,,,,,,,,,7.5,,,,,,,,,,mg/L,1981.0
"GREGOIRE LAKE, AT MOUTH OF GREGOIRE RIVER",1972-07-31,Far,,,15.2,,,,,,,,,,,,,8.1,,,,,,,,,,mg/L,1972.0
"GREGOIRE LAKE, AT WIER - GRAB",1976-10-29,Far,,,14.5,,,,,,,,,,,,,7.3,,0.07,,,,,,,,mg/L,1976.0
"GREGOIRE LAKE, AT WIER - GRAB",1976-12-22,Far,,,18.5,,,,,,,0.0001,,,,,0.81,7.3,,0.02,,,,,,,,mg/L,1976.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-01-11,Far,,,18.5,,,,,,,,,,,,0.86,7.3,,0.02,,,,,,,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-02-25,Far,,,18.0,,,,,,,,,,,,0.82,7.8,,0.02,,,,,,,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-03-09,Far,,,18.5,,,,,,,0.0002,,,,,0.97,8.0,,0.03,,,,,,15.4,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-04-27,Far,,,13.5,,,,,,,,,,,,0.66,7.5,,0.02,,,,,,13.0,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-05-20,Far,,,14.5,,,,,,,,,,,,0.74,7.6,7.5,0.02,,,,,,8.75,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-06-09,Far,,,13.5,,,,,,,,,,,,0.97,7.2,,0.04,,,,,,8.2,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-07-28,Far,,,13.5,,,,,,,,,,,,0.82,7.5,8.9,0.029,,,,,,7.7,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-08-19,Far,,,15.5,,,,,,,,,,,,1.12,7.7,8.4,0.028,,,,,,8.1,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-09-20,Far,,,15.5,,,,,,,,,,,,1.01,7.67,8.2,0.024,,,,,,8.2,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-10-13,Far,,,15.5,,,,,,,,,,,,1.18,7.73,7.95,0.029,,,,,,13.0,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1977-11-16,Far,,,15.5,,,,,,,,,,,,1.0,7.3,8.1,0.021,,,,,,,,mg/L,1977.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-03-27,Far,,,19.5,,,,,,,,,,,,0.72,7.55,,0.016,,,,,,,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-04-17,Far,,,17.3,,,,,,,,,,,,0.74,7.68,,0.022,,,,,,14.3,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-05-10,Far,,,15.2,,,,,,,,,,,,0.085,7.75,7.4,0.02,,,,,,8.1,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-06-08,Far,,,15.5,,,,,,,,,,,,0.55,7.65,8.3,0.019,,,,,,8.1,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-07-05,Far,,,16.0,,,,,,,,,,,,1.4,7.65,8.3,0.025,,,0.002,,,10.4,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-08-30,Far,,,17.3,,,,,,,,,,,,1.26,7.37,9.0,0.034,,,,,,6.8,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-09-27,Far,,,15.5,,,,,,,,,,,,1.96,7.4,8.7,0.029,,,,,,8.2,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-10-25,Far,,,17.5,,,,,,,,,,,,0.8,7.3,8.6,0.038,,,,,,9.35,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-11-21,Far,,,15.5,,,,,,,,,,,,1.0,7.3,8.45,0.034,,,,,,,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1978-12-20,Far,,,21.0,,,,,,,,,,,,0.72,7.7,,0.017,,,,,,,,mg/L,1978.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-01-11,Far,,,19.0,,,,,,,,,,,,0.76,7.5,,0.019,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-02-12,Far,,,23.0,,,,,,,,,,,,0.42,7.9,,0.025,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-03-14,Far,,,20.0,,,,,,,,,,,,2.08,7.8,,0.015,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-04-19,Far,,,21.5,,,,,,,0.0006,,,,,0.92,7.7,,0.018,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-05-07,Far,,,20.0,,,,,,,,,,,,0.3,7.5,,0.025,,,,,,,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-06-12,Far,,,15.3,,,,,,,,,,,,0.28,7.55,8.6,0.029,,,,,,8.9,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-07-11,Far,,,15.0,,,,,,,0.0001,,,,,1.02,7.4,8.4,0.031,,,,,,10.0,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-08-14,Far,,,14.3,,,,,,,0.0044,,,,,1.34,7.6,8.1,0.05,,,,,,7.9,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-09-19,Far,,,15.7,,,,,,,,,,,,0.82,7.14,8.3,0.056,,,0.002,,,11.0,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1979-10-16,Far,,,15.5,,,,,,,0.0003,,,,,1.1,7.2,,0.055,,,,,,12.4,,mg/L,1979.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-01-10,Far,,,19.8,,,,,,,0.0006,,,,,1.34,7.34,7.7,0.017,,,,,,,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-02-20,Far,,,21.8,,,,,,,,,,,,0.84,8.0,8.3,0.02,,,,,,,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-03-12,Far,,,22.2,,,,,,,0.0001,,,,,1.0,7.16,7.53,0.048,,,,,,,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-05-08,Far,,,14.0,,,,,,,,,,,,0.7,7.44,8.17,0.042,,,,,,11.2,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-08-05,Far,,,15.5,,,,,,,,,,,,0.81,6.85,,0.05,,,,,,11.2,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1980-11-04,Far,,,13.6,,,,,,,,,,,,1.08,7.03,,0.03,,,,,,,,mg/L,1980.0
"GREGOIRE LAKE, AT WIER - GRAB",1981-01-06,Far,,,18.7,,,,,,,,,,,,1.12,7.22,,0.042,,,,,,,,mg/L,1981.0
"GREGOIRE LAKE, AT WIER - GRAB",1981-03-31,Far,,,17.0,,,,,,,,,,,,1.02,7.92,,0.023,,,,,,,,mg/L,1981.0
"GREGOIRE LAKE, AT WIER - GRAB",1981-07-09,Far,,,13.7,,,,,,,,,,,,1.05,6.93,8.6,0.07,,,,,,10.3,,mg/L,1981.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-05-06,Far,,,9.0,,,,,,,,,,,,,7.6,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-06-23,Far,,,14.0,,,,,,,,,,,,,7.5,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-07-19,Far,,,15.0,,,,,,,,,,,,,7.11,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-08-12,Far,,,14.4,,,,,,,,,,,,,7.47,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-08-23,Far,,,14.2,,,,,,,,,,,,,7.29,8.2,,,,,,,10.6,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1982-10-04,Far,,,14.2,,,,,,,,,,,,,7.22,,,,,,,,,,mg/L,1982.0
"GREGOIRE LAKE, AT WIER - GRAB",1983-04-20,Far,,,17.1,,,,,,,,,,,,,7.02,,,,,,,,,,mg/L,1983.0
"GREGOIRE LAKE, AT WIER - GRAB",1983-05-02,Far,,,16.5,,,,,,,,,,,,,7.09,,,,,,,,,,mg/L,1983.0
