Sampling Timestamp,Oxygen dissolved % saturation,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
09/16/2020 8:00 AM,92.3,NAMUR LAKE,NAMUR LAKE,12.0,"'---",%,3620,FIELD,20SWE10884,20SWE10903,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92,NAMUR LAKE,NAMUR LAKE,11.0,"'---",%,3620,FIELD,20SWE10884,20SWE10902,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.2,NAMUR LAKE,NAMUR LAKE,10.0,"'---",%,3620,FIELD,20SWE10884,20SWE10901,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.2,NAMUR LAKE,NAMUR LAKE,9.0,"'---",%,3620,FIELD,20SWE10884,20SWE10900,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.2,NAMUR LAKE,NAMUR LAKE,8.0,"'---",%,3620,FIELD,20SWE10884,20SWE10899,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,7.0,"'---",%,3620,FIELD,20SWE10884,20SWE10898,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,6.0,"'---",%,3620,FIELD,20SWE10884,20SWE10897,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,5.0,"'---",%,3620,FIELD,20SWE10884,20SWE10896,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,4.5,"'---",%,3620,FIELD,20SWE10884,20SWE10895,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92,NAMUR LAKE,NAMUR LAKE,4.0,"'---",%,3620,FIELD,20SWE10884,20SWE10894,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92,NAMUR LAKE,NAMUR LAKE,3.5,"'---",%,3620,FIELD,20SWE10884,20SWE10893,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,3.0,"'---",%,3620,FIELD,20SWE10884,20SWE10892,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,2.5,"'---",%,3620,FIELD,20SWE10884,20SWE10891,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,2.0,"'---",%,3620,FIELD,20SWE10884,20SWE10890,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,1.5,"'---",%,3620,FIELD,20SWE10884,20SWE10889,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,1.0,"'---",%,3620,FIELD,20SWE10884,20SWE10888,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.1,NAMUR LAKE,NAMUR LAKE,0.5,"'---",%,3620,FIELD,20SWE10884,20SWE10887,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,92.2,NAMUR LAKE,NAMUR LAKE,0.1,"'---",%,3620,FIELD,20SWE10884,20SWE10886,,Centre,DISCRETE SAMPLE (GRAB),09/16/2020 7:00 AM
09/16/2020 8:00 AM,,NAMUR LAKE,NAMUR LAKE,,"'---",%,3620,FIELD,20SWE10884,20SWE10885,,Centre,SINGLE EUPHOTIC COMPOSITE,09/16/2020 7:00 AM
08/19/2021 3:15 PM,99.8,NAMUR LAKE,NAMUR LAKE,0.1,"'---",%,3620,FIELD,21SWE04629,21SWE04629-02,,Profile,EUPHOTIC COMPOSITE,08/19/2021 2:15 PM
08/19/2021 3:15 PM,99.8,NAMUR LAKE,NAMUR LAKE,0.5,"'---",%,3620,FIELD,21SWE04629,21SWE04629-03,,Profile,EUPHOTIC COMPOSITE,08/19/2021 2:15 PM
