Sampling Timestamp,Turbidity,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
08/10/1999 10:25 AM,0.5,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,99SWE06000,99SWE06000,,Centre,EUPHOTIC COMPOSITE,08/10/1999 9:25 AM
08/31/2000 9:20 AM,0.8,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,00SWE04000,00SWE04000,,Centre,EUPHOTIC COMPOSITE,08/31/2000 8:20 AM
09/13/2001 10:45 AM,0.68,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,01SWE03691,01SWE03122,,Centre,SINGLE EUPHOTIC COMPOSITE,09/13/2001 11:00 AM
10/01/2002 12:00 PM,0.87,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,02SWE03130,02SWE03130,,Centre,SINGLE EUPHOTIC COMPOSITE,10/01/2002 11:00 AM
08/28/2003 8:55 AM,0.65,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,03SWE01770,03SWE01770,,Centre,SINGLE EUPHOTIC COMPOSITE,08/28/2003 7:55 AM
08/27/2005 9:58 AM,0.51,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE02657,05SWE02658,,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2005 8:58 AM
08/21/2007 9:40 AM,0.51,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,07SWE02684,07SWE02684,,Centre,SINGLE EUPHOTIC COMPOSITE,08/21/2007 8:40 AM
08/27/2008 10:05 AM,0.32,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,08SWE03930,08SWE02145,,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2008 9:05 AM
08/19/2009 10:30 AM,0.48,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,09SWE00827,09SWE00737,,Centre,SINGLE EUPHOTIC COMPOSITE,08/19/2009 9:30 AM
08/30/2011 10:30 AM,0.69,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,11SWE06596,11SWE06597,,Centre,SINGLE EUPHOTIC COMPOSITE,08/30/2011 9:30 AM
