lake,parameter,source_file,sampling_timestamp,sample_timestamp,measurement_value,measurement_value_raw,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,vanadium_total_recoverable
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-07-10 12:00:00,2014-07-10 11:00:00,2.61,2.61,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,0.00001,,,2.61
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-09-07 12:00:00,2014-09-07 11:00:00,7.19,7.19,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107362,,0.00001,,,7.19
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2015-03-02 12:00:00,2015-03-02 12:00:00,0.59,0.59,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107359,,0.00001,,,0.59
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-03-10 12:00:00,2016-03-10 12:00:00,0.58,0.58,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112660,,0.00001,,,0.58
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-07-20 12:00:00,2016-07-20 11:00:00,1.53,1.53,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112405,,0.00001,,,1.53
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-09-21 12:00:00,2016-09-21 11:00:00,1.49,1.49,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,0.00001,,,1.49
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2017-03-15 12:00:00,2017-03-15 11:00:00,0.49,0.49,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111901,,0.00001,,,0.49
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,,,,,,,,,,,,,,,,,
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,,,,Vanadium Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Vanadium Dissolved
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-07-10 12:00:00,2014-07-10 11:00:00,0.39,0.39,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,0.00002,,,0.39
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-09-07 12:00:00,2014-09-07 11:00:00,0.25,0.25,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107362,,0.00002,,,0.25
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2015-03-02 12:00:00,2015-03-02 12:00:00,0.14,0.14,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107359,,0.00002,,,0.14
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-03-10 12:00:00,2016-03-10 12:00:00,0.18,0.18,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112660,,0.00002,,,0.18
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-07-20 12:00:00,2016-07-20 11:00:00,0.58,0.58,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112405,,0.00002,,,0.58
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-09-21 12:00:00,2016-09-21 11:00:00,0.36,0.36,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,0.00002,,,0.36
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2017-03-15 12:00:00,2017-03-15 11:00:00,0.15,0.15,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111901,,0.00002,,,0.15
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,,,,,,,,,,,,,,,,,
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,,,,Turbidity,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Turbidity
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-03-10 12:00:00,2016-03-10 12:00:00,4.5,4.5,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112660,,0.1,,,4.5
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-07-20 12:00:00,2016-07-20 11:00:00,13.0,13,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112405,,0.1,,,13
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-09-21 12:00:00,2016-09-21 11:00:00,15.0,15,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112207,,0.1,,,15
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2017-03-15 12:00:00,2017-03-15 11:00:00,7.8,7.8,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",111901,,0.1,,,7.8
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,,,,,,,,,,,,,,,,,
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,,,,Phosphorus Total,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Phosphorus Total
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-05-08 12:00:00,2014-05-08 11:00:00,0.193,0.193,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106707,,0.001,,,0.193
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-07-10 12:00:00,2014-07-10 11:00:00,0.0654,0.0654,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107356,,0.001,,,0.0654
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-09-07 12:00:00,2014-09-07 11:00:00,0.0597,0.0597,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107362,,0.001,,,0.0597
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2015-03-02 12:00:00,2015-03-02 12:00:00,0.0381,0.0381,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107359,,0.001,,,0.0381
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-03-10 12:00:00,2016-03-10 12:00:00,0.041,0.041,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112660,,0.003,,,0.041
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-07-20 12:00:00,2016-07-20 11:00:00,0.062,0.062,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112405,,0.003,,,0.062
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2016-09-21 12:00:00,2016-09-21 11:00:00,0.072,0.072,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112207,,0.003,,,0.072
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2017-03-15 12:00:00,2017-03-15 11:00:00,0.041,0.041,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",111901,,0.003,,,0.041
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,,,,,,,,,,,,,,,,,
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,,,,Phosphorus Total Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Phosphorus Total Dissolved
