Sampling Timestamp,Calcium Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
09/06/2000 12:40 PM,6.59,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,00SWE04025,00SWE04025,0.003,Centre,EUPHOTIC COMPOSITE,09/06/2000 11:40 AM
10/04/2001 1:06 PM,6.21,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,01SWE03681,01SWE03401,0.003,Centre,VERTICAL INTEGRATED,10/04/2001 1:00 PM
10/09/2002 2:00 PM,5.23,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,02SWE04626,02SWE03171,0.003,Centre,DISCRETE SAMPLE (GRAB),10/09/2002 1:00 PM
08/29/2003 1:45 PM,5.35,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,03SWE01797,03SWE01797,0.003,Centre,DISCRETE SAMPLE (GRAB),08/29/2003 12:45 PM
08/29/2004 3:10 PM,4.87,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE03080,04SWE02274,0.003,Centre,SINGLE EUPHOTIC COMPOSITE,08/29/2004 2:10 PM
09/08/2005 11:30 AM,7.76,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE03125,05SWE03126,0.003,Centre,DISCRETE SAMPLE (GRAB),09/08/2005 10:30 AM
08/25/2006 11:05 AM,5.59,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,06SWE03451,06SWE01927,0.003,Centre,DISCRETE SAMPLE (GRAB),08/25/2006 10:05 AM
08/27/2007 12:30 PM,4.8,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,07SWE05679,07SWE02717,0.003,Centre,DISCRETE SAMPLE (GRAB),08/27/2007 11:30 AM
09/02/2008 2:00 PM,4.19,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,08SWE03983,08SWE02176,0.003,Centre,DISCRETE SAMPLE (GRAB),09/02/2008 1:00 PM
08/16/2009 12:30 PM,4.42,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,09SWE00921,09SWE00749,0.003,Centre,DISCRETE SAMPLE (GRAB),08/16/2009 11:30 AM
08/30/2010 12:30 PM,4.87,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,10SWE01914,10SWE01373,0.003,Centre,DISCRETE SAMPLE (GRAB),08/30/2010 11:30 AM
