Sampling Timestamp,Phosphorus Total Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
09/06/2000 12:40 PM,0.026,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,00SWE04025,00SWE04025,0.001,Centre,EUPHOTIC COMPOSITE,09/06/2000 11:40 AM
10/04/2001 1:06 PM,0.028,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,01SWE03681,01SWE03401,0.001,Centre,VERTICAL INTEGRATED,10/04/2001 1:00 PM
10/09/2002 2:00 PM,0.028,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,02SWE04626,02SWE03171,0.001,Centre,DISCRETE SAMPLE (GRAB),10/09/2002 1:00 PM
08/29/2003 1:45 PM,0.031,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,03SWE01797,03SWE01797,0.001,Centre,DISCRETE SAMPLE (GRAB),08/29/2003 12:45 PM
08/29/2004 3:10 PM,0.026,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE03080,04SWE02274,0.001,Centre,SINGLE EUPHOTIC COMPOSITE,08/29/2004 2:10 PM
09/08/2005 11:30 AM,0.019,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE03125,05SWE03126,0.001,Centre,DISCRETE SAMPLE (GRAB),09/08/2005 10:30 AM
08/25/2006 11:05 AM,0.025,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,06SWE03451,06SWE01927,0.001,Centre,DISCRETE SAMPLE (GRAB),08/25/2006 10:05 AM
08/27/2007 12:30 PM,0.027,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,07SWE05679,07SWE02717,0.001,Centre,DISCRETE SAMPLE (GRAB),08/27/2007 11:30 AM
09/02/2008 2:00 PM,0.038,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,08SWE03983,08SWE02176,0.001,Centre,DISCRETE SAMPLE (GRAB),09/02/2008 1:00 PM
08/16/2009 12:30 PM,0.029,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,09SWE00921,09SWE00749,0.001,Centre,DISCRETE SAMPLE (GRAB),08/16/2009 11:30 AM
08/30/2010 12:30 PM,0.03,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,10SWE01914,10SWE01373,0.001,Centre,DISCRETE SAMPLE (GRAB),08/30/2010 11:30 AM
08/31/2011 11:30 AM,0.031,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,11SWE06651,11SWE06652,0.001,Centre,DISCRETE SAMPLE (GRAB),08/31/2011 10:30 AM
08/27/2012 1:15 PM,0.016,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,12SWE02147,12SWE02148,0.004,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2012 12:15 PM
09/05/2013 12:20 PM,0.026,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,13SWE02466,13SWE02467,0.004,Centre,DISCRETE SAMPLE (GRAB),09/05/2013 11:20 AM
08/25/2015 1:00 PM,0.025,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,15SWE05438,15SWE05439,0.002,Centre,SINGLE EUPHOTIC COMPOSITE,08/25/2015 12:00 PM
08/24/2016 11:20 AM,0.024,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,16SWE08232,16SWE08233,0.002,Centre,DISCRETE SAMPLE (GRAB),08/24/2016 10:20 AM
08/21/2017 12:45 PM,0.031,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,17SWE12748,17SWE12749,0.002,Centre,DISCRETE SAMPLE (GRAB),08/21/2017 11:45 AM
09/14/2020 12:45 PM,0.003,WHITESAND LAKE,WHITESAND LAKE,1.0,<,mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",20SWE10829,20SWE10830-03,0.003,Centre,FIELD BLANK,09/14/2020 11:45 AM
09/14/2020 12:45 PM,0.014,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",20SWE10829,20SWE10830,0.003,Centre,DISCRETE SAMPLE (GRAB),09/14/2020 11:45 AM
09/14/2020 12:45 PM,0.016,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",20SWE10829,20SWE10830-02,0.003,Centre,REPLICATE SAMPLE,09/14/2020 11:45 AM
08/17/2021 12:20 PM,0.02,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",21SWE04611,21SWE04611-01,0.0030,Centre,DISCRETE SAMPLE (GRAB),08/17/2021 11:20 AM
08/17/2021 12:20 PM,0.019,WHITESAND LAKE,WHITESAND LAKE,,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",21SWE04611,21SWE04611-02,0.0030,Centre,REPLICATE SAMPLE,08/17/2021 11:20 AM
08/17/2021 12:20 PM,0.003,WHITESAND LAKE,WHITESAND LAKE,,<,mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",21SWE04611,21SWE04611-03,0.0030,Field Blank,FIELD BLANK,08/17/2021 11:20 AM
09/12/2022 11:30 AM,0.003,WHITESAND LAKE,WHITESAND LAKE,,<,mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",22SWE04603,22SWE04603-03,0.0030,Centre,FIELD BLANK,09/12/2022 11:00 AM
09/12/2022 11:30 AM,0.033,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",22SWE04603,22SWE04603-01,0.0030,Centre,DISCRETE SAMPLE (GRAB),09/12/2022 10:30 AM
09/12/2022 11:30 AM,0.033,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",22SWE04603,22SWE04603-02,0.0030,Centre,REPLICATE SAMPLE,09/12/2022 10:45 AM
