lake,parameter,source_file,sampling_timestamp,sample_timestamp,measurement_value,measurement_value_raw,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,vanadium_total_recoverable
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-05-08 12:00:00,2014-05-08 11:00:00,0.193,0.193,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106707,,0.001,,,0.193
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-05-08 12:00:00,2014-05-08 11:00:00,0.0248,0.0248,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106707,,0.001,,,0.0248
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-05-08 12:00:00,2014-05-08 11:00:00,7.75,7.75,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,,389,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106707,,0.1,,,7.75
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-05-08 12:00:00,2014-05-08 11:00:00,1.0,2,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,<,mg/l,331,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106707,,2,,,2
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-05-08 12:00:00,2014-05-08 11:00:00,1.0,1,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,301,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106707,,,,,1
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-05-08 12:00:00,2014-05-08 11:00:00,23.9,23.9,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,3158,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106707,,0.5,,,23.9
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-07-10 12:00:00,2014-07-10 11:00:00,2.61,2.61,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,0.00001,,,2.61
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-07-10 12:00:00,2014-07-10 11:00:00,0.39,0.39,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,0.00002,,,0.39
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-07-10 12:00:00,2014-07-10 11:00:00,0.0654,0.0654,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107356,,0.001,,,0.0654
gregoire_river,vanadium_total_recoverable,GREGOIRE RIVER.csv,2014-07-10 12:00:00,2014-07-10 11:00:00,0.0351,0.0351,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,,mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107356,,0.001,,,0.0351
