lake,project_number,sample_number,station_number,station,latitude_decimal_degrees,longitude_decimal_degrees,sample_datetime,station_type_code,sample_matrix_code,sample_type_code,collection_code,qc_sample_flag,sample_comment,continental_river_basin_code,river_basin_code,river_sub_basin_code,aluminum_total_recoverable,calcium_dissolved_filtered,calcium_total_recoverable,copper_total,copper_total_recoverable,lead_total_recoverable,nickel_total,nickel_total_recoverable,nitrogen_dissolved_nitrite,nitrogen_dissolved_no3_no2,nitrogen_particulate_total,oxygen_dissolved_field_meter,oxygen_dissolved_winkler,ph_lab,phosphorus_total,phosphorus_total_dissolved,turbidity_ntu,vanadium_total,vanadium_total_recoverable
gregoire,ABS002,88AB003274,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1988-08-18 10:30:00,1,0,1,,N,,MAC,ATH,07CE,,15.0,,0.002,,,0.003,,0.0025,0.023,0.18,,,7.5,,,5.3,0.001,
gregoire,ABS002,89AB003284,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:30:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.6,,,,,,,
gregoire,ABS002,89AB003285,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:31:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.5,,,,,,,
gregoire,ABS002,89AB003286,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:32:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.4,,,,,,,
gregoire,ABS002,89AB003287,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:33:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.2,,,,,,,
gregoire,ABS002,89AB003288,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:34:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.9,,,,,,,
gregoire,ABS002,89AB003289,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:35:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.44,,,,,,,
gregoire,ABS002,89AB003290,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:36:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.6,,,,,,,
gregoire,ABS002,90AB001758,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:31:00,1,0,1,,N,,MAC,ATH,07CE,,21.0,,,,,,,0.001,0.07,,11.0,11.38,7.28,0.0187,0.014,,,
gregoire,ABS002,90AB001759,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:32:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,10.2,,,,,,,
gregoire,ABS002,90AB001760,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:33:00,1,0,1,,N,,MAC,ATH,07CE,,20.0,,,,,,,0.001,0.09,,9.7,9.44,7.23,0.0143,0.0116,,,
gregoire,ABS002,90AB001761,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:34:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,6.3,,,,,,,
gregoire,ABS002,90AB001762,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:35:00,1,0,1,,N,,MAC,ATH,07CE,,21.0,,,,,,,0.001,0.138,,4.5,4.89,7.15,0.0169,0.0132,,,
gregoire,ABS002,90AB001763,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:30:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.9,,,,,,,
gregoire,ABS002,90AB001764,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:31:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.9,,,,,,,
gregoire,ABS002,90AB001765,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:32:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.9,,,,,,,
gregoire,ABS002,90AB001766,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:33:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.2,,,,,,,
gregoire,ABS002,90AB001767,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:34:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.0,,,,,,,
gregoire,ABS002,91AB002492,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:01:00,1,0,1,,N,,MAC,ATH,07CE,,28.0,,,,,,,0.007,0.027,,12.34,,8.23,0.0127,,,,
gregoire,ABS002,91AB002493,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:02:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,11.6,,,,,,,
gregoire,ABS002,91AB002494,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:03:00,1,0,1,,N,,MAC,ATH,07CE,,19.0,,,,,,,0.001,0.078,,11.29,,7.04,0.0128,,,,
gregoire,ABS002,91AB002495,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:04:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.69,,,,,,,
gregoire,ABS002,91AB002496,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:05:00,1,0,1,,N,,MAC,ATH,07CE,,20.0,,,,,,,0.001,0.193,,6.66,,7.03,0.0162,,,,
gregoire,ABS002,91AB002497,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:30:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.6,,,,,,,
gregoire,ABS002,91AB002498,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:31:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.4,,,,,,,
gregoire,ABS002,91AB002499,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:32:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.3,,,,,,,
gregoire,ABS002,91AB002500,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:33:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.3,,,,,,,
gregoire,ABS002,91AB002501,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:34:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.0,,,,,,,
