lake,project_number,sample_number,station_number,station,latitude_decimal_degrees,longitude_decimal_degrees,sample_datetime,station_type_code,sample_matrix_code,sample_type_code,collection_code,qc_sample_flag,sample_comment,continental_river_basin_code,river_basin_code,river_sub_basin_code,aluminum_extractable,calcium_dissolved_filtered,copper_extractable,copper_total,lead_extractable,lead_total,nickel_total,nitrogen_dissolved_nitrate,nitrogen_dissolved_nitrite,oxygen_dissolved_field_meter,oxygen_total_cod,ph_lab,phosphorus_total,turbidity_jtu,turbidity_ntu,vanadium_total
mildred,ABS002,88AB003445,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.05556,-111.58889,1988-03-08 16:01:00,1,0,1,,N,,MAC,ATH,07DA,0.033,54.0,,0.0005,0.0015,,0.002,,0.0005,9.7,,8.2,0.0157,,0.5,0.001
mildred,ABS002,88AB003446,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.05556,-111.58889,1988-03-08 16:02:00,1,0,1,122.0,N,,MAC,ATH,07DA,,,,,,,,,,9.2,,,,,,
mildred,ABS002,88AB003447,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.05556,-111.58889,1988-03-08 16:03:00,1,0,1,122.0,N,,MAC,ATH,07DA,,,,,,,,,,8.6,,,,,,
mildred,ABS002,88AB003448,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.05556,-111.58889,1988-03-08 16:04:00,1,0,1,122.0,N,,MAC,ATH,07DA,,,,,,,,,,7.5,,,,,,
mildred,ABS002,88AB003449,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.05556,-111.58889,1988-03-08 16:05:00,1,0,1,122.0,N,,MAC,ATH,07DA,,,,,,,,,,5.3,,,,,,
mildred,ABS002,88AB003450,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.05556,-111.58889,1988-03-08 16:06:00,1,0,1,122.0,N,,MAC,ATH,07DA,,,,,,,,,,2.4,,,,,,
mildred,ABS002,88AB003451,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.05556,-111.58889,1988-03-08 16:07:00,1,0,1,122.0,N,,MAC,ATH,07DA,,,,,,,,,,1.5,,,,,,
mildred,ABS002,88AB003452,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.05556,-111.58889,1988-03-08 16:08:00,1,0,1,122.0,N,,MAC,ATH,07DA,,,,,,,,,,0.0,,,,,,
mildred,ABSA02,72AB004521,AB07DA2850,"MILDRED LAKE, (NO DESCRIP)",57.05444,-111.57778,1972-07-31 12:00:00,1,0,1,,N,,MAC,ATH,07DA,,34.1,,,,,,,,,,8.4,,,,
mildred,ABSA02,72AB004522,AB07DA2860,"MILDRED LAKE, (NO DESCRIP)",57.05444,-111.57778,1972-10-05 12:00:00,1,0,1,,N,,MAC,ATH,07DA,,36.0,,,,,,,,,,7.8,,,,
mildred,ABSA02,73AB005073,AB07DA2870,"MILDRED LAKE, (NO DESCRIP)",57.05444,-111.57778,1973-06-17 12:00:00,1,0,1,,N,,MAC,ATH,07DA,,30.0,,,,,,0.05,0.05,,,8.5,,,,
mildred,ABSA02,73AB005074,AB07DA2880,"MILDRED LAKE, EAST SIDE GRAB",57.04228,-111.55892,1973-08-14 12:00:00,1,0,1,,N,,MAC,ATH,07DA,,20.0,,,,,,0.05,0.05,,,8.6,,,,
mildred,ABS002,72AB000262,AB07DA2350,"MILDRED LAKE, GRAB",57.05556,-111.58889,1972-07-31 12:00:00,1,0,1,,N,,MAC,ATH,07DA,,34.1,0.073,,0.002,,,,,,,8.4,,3.0,,
mildred,ABS002,72AB000263,AB07DA2350,"MILDRED LAKE, GRAB",57.05556,-111.58889,1972-10-05 12:00:00,1,0,1,,N,,MAC,ATH,07DA,,36.0,,0.004,,0.018,0.004,,,,,7.8,0.9,4.0,,
mildred,ABS002,73AB000989,AB07DA2350,"MILDRED LAKE, GRAB",57.05556,-111.58889,1973-06-17 19:35:00,1,0,1,,N,,MAC,ATH,07DA,,30.0,,0.005,,0.002,0.005,,,,33.0,8.5,0.2,3.0,,
mildred,ABS002,73AB000990,AB07DA2350,"MILDRED LAKE, GRAB",57.05556,-111.58889,1973-08-14 17:35:00,1,0,1,,N,,MAC,ATH,07DA,,20.0,,0.0005,,0.002,0.0005,,0.05,,36.0,8.6,0.4,2.0,,
mildred,ABSA02,74AB003052,AB07DA2890,"MILDRED LAKE, GRAB",57.05211,-111.58284,1974-08-01 12:00:00,1,0,1,,N,,MAC,ATH,07DA,,37.0,,,,,,0.005,0.05,,,8.3,,,,
mildred,ABS002,74AB000953,AB07DA2350,"MILDRED LAKE, GRAB",57.05556,-111.58889,1974-08-19 11:30:00,1,0,1,,N,,MAC,ATH,07DA,,,,0.016,,0.0005,0.003,,0.05,,27.0,7.4,,4.0,,
